"Abdelmalek Mokdad (Ain El Hadjar, 5 maggio 1986) è un calciatore algerino, difensore del Créteil.(DE, EN, IT) Abdelmalek Mokdad, su",it
"Skeet Ulrich, vero nome Bryan Ray Trout (Lynchburg, 20 gennaio 1970), è un attore statunitense.È noto soprattutto per i suoi",it
"ruoli nei film popolari degli anni '90, come Billy Loomis in Scream e Chris Hooker in The Craft. Dal 2017,",it
"interpreta il ruolo di FP Jones nella serie tv, Riverdale. Tra gli altri suoi ruoli televisivi includono Paul Callan nel",it
"dramma ABC Miracles, Johnston Jacob ""Jake"" Green Jr. nella serie televisiva Jericho, e il detective Rex Winters, un veterano dei",it
"Marine in Law & Order.Bryan Ray Trout è nato il 20 gennaio 1970 a Lynchburg, in Virginia. Sua madre, Carolyn",it
"Elaine Wax, è proprietaria dell'agenzia di marketing per eventi speciali Sports Management Group e suo padre è un ristoratore morto",it
"nel 2020 Il suo primo patrigno era DK Ulrich, un pilota NASCAR e proprietario del team. La madre di Trout",it
"da allora si è risposata con Edward Lewis Wax. Tuttavia, considera ancora DK Ulrich come suo padre. Lo zio materno",it
"di Ulrich è un pilota della NASCAR in pensione, e suo nonno materno era Alvin Ray Rudd, il presidente di",it
"Al Rudd Auto Parts.Ulrich sostiene che suo padre avesse rapito lui e suo fratello quando aveva sei anni, e trascorsero",it
i successivi tre anni a spostarsi dalla Florida a New York e poi in Pennsylvania. Si sono riuniti con la,it
"madre nella Carolina del Nord, dove suo padre è scomparso dalla sua vita.Il soprannome ""Skeet"" deriva dal soprannome ""Skeeter"" che",it
gli è stato dato dal suo allenatore della Little League a causa della sua bassa statura. Insieme alla sua leggera,it
"struttura, aveva una salute precaria, compresi numerosi attacchi di polmonite; subì un intervento chirurgico a cuore aperto per riparare un",it
ventricolo difettoso all'età di 10 anni. Ulrich si diplomò alla Northwest Cabarrus High School. Dopo essersi iscritto alla University of,it
"North Carolina a Wilmington per studiare Biologia marina, è passato alla New York University, dove è stato notato dal drammaturgo",it
"David Mamet.Nel corso della sua carriera ha recitato in diverse pellicole, nel 1996 ottiene un ruolo nel film di Andrew",it
"Fleming, Giovani streghe, sempre nello stesso anno recita nel film Difesa ad oltranza, di Bruce Beresford.Nel 1996 diventa uno dei",it
"protagonisti del film di Wes Craven, Scream, la prima pellicola della serie.Prenderà parte, recitando insieme a Jack Nicholson e Helen",it
"De Pakanbaroe-spoorweg (ook: Pakan-Baroe-spoorweg, Pekanbaru-spoorweg of Sumatra-spoorweg) was een van de zogenoemde dodenspoorwegen die tijdens de Tweede Wereldoorlog in Azië",nl
aangelegd werden in opdracht van de Japanse bezetter.De Pankanbaroe-spoorweg van Pakanbaroe naar Muaro op Sumatra in Nederlands-Indië was 200 kilometer,nl
"lang. Hij werd tussen april 1943 en augustus 1945 onder zware omstandigheden aangelegd door dwangarbeiders, vrijwilligers en krijgsgevangenen. In totaal",nl
"werkten er aan de spoorweg 102.000 romoesja's, waarvan slechts een op de vijf de ontberingen overleefde; daarnaast werkten er 5.000",nl
"westerse krijgsgevangenen, waarvan vele honderden omkwamen. De spoorweg werd slechts eenmaal gebruikt, toen de Japanse bezetting van Nederlands-Indië al voorbij",nl
was.Dwangarbeid laten verrichten door krijgsgevangenen is een misdaad tegen het Landoorlogreglement; hen mishandelen is een misdaad tegen de menselijkheid. Het,nl
laten verrichten van dwangarbeid door burgers is eveneens een misdaad tegen de menselijkheid.Veel aandacht ging na 1945 uit naar de,nl
"Birma-Siam-spoorweg. Bij de aanleg daarvan waren vooral Amerikaanse, Brits en Australische krijgsgevangenen betrokken. Tal van boeken en de speelfilm The",nl
Bridge on the River Kwai hebben bijgedragen aan de bekendheid van die spoorweg.In de jaren 1920 maakte het gouvernement van,nl
Nederlands-Indië plannen om een spoorwegnet over Sumatra aan te leggen. Het doel was het binnenland te ontsluiten en een verbinding,nl
"tussen oost- en west-Sumatra te creëren. Padang aan de westkust en Muaro, ook in het westen maar meer in het",nl
"binnenland, waren voor 1941 al per spoor verbonden (via deze spoorweg kon men de Ombilinmijn in het binnenland bereiken). Aan",nl
de oostzijde was Pakanbaroe via de rivier de Siak verbonden met de oostkust. Een spoorweg van Muaro naar Pakanbaroe zou,nl
dus de verbinding tussen de west- en oostkust compleet maken.Verkenningen voor de aanleg van deze spoorweg maakten duidelijk dat er,nl
veel tunnels geboord moesten worden en er ten minste drie grote spoorbruggen nodig waren. De uitkomst van het onderzoek was,nl
dat de spoorlijn niet rendabel zou zijn. De plannen verdwenen daarom in het archief van de Nederlands-Indische Staatsspoorwegen.Na de Japanse,nl
"verovering in 1942 kwamen de plannen onder ogen van de Japanse legerleiding, deze hield rekening met een invasie van de",nl
"geallieerden op Sumatra. Deze was ook gepland, maar heeft nooit doorgang gevonden. In het kader van de verdediging van Sumatra",nl
vonden de Japanners een goed wegen- en spoorwegennet belangrijk. Ook de dreiging van onderzeeboten vanuit de Indische Oceaan maakte het,nl
belangrijk dat er op Sumatra goede transportmogelijkheden waren tussen de Indische Oceaan en de Straat Malakka.De afvoer van kolen via,nl
